session_id	query_text	serp_pos	url	is_click	total_view_time
226153	1469	4	840072	False	-1
226153	1469	5	180769	False	-1
226153	1469	6	516433	False	-1
226153	1469	7	288045	False	-1
226153	1469	8	715787	False	-1
226153	1469	9	840066	False	-1
356418	1469	0	241084	True	36
356418	1469	1	477004	False	-1
356418	1469	2	658443	False	-1
356418	1469	3	490938	False	-1
356418	1469	4	180769	False	-1
356418	1469	5	516433	False	-1
356418	1469	6	1014523	False	-1
356418	1469	7	288045	False	-1
356418	1469	8	715787	False	-1
356418	1469	9	840063	False	-1
487863	1469	0	194056	False	-1
487863	1469	1	619076	True	2049
487863	1469	2	736432	False	-1
487863	1469	3	164810	False	-1
487863	1469	4	273353	False	-1
487863	1469	5	288045	False	-1
487863	1469	6	800282	False	-1
487863	1469	7	593024	False	-1
487863	1469	8	131507	False	-1
487863	1469	9	288040	False	-1
134833	1469	0	241084	True	572
134833	1469	1	477004	False	-1
134833	1469	2	658443	False	-1
134833	1469	3	490938	False	-1
134833	1469	4	840072	False	-1
134833	1469	5	180769	False	-1
134833	1469	6	516433	False	-1
134833	1469	7	288045	False	-1
134833	1469	8	715787	False	-1
134833	1469	9	840066	False	-1
8412	1469	0	241084	True	256
8412	1469	1	477004	False	-1
8412	1469	2	658443	False	-1
8412	1469	3	490938	False	-1
8412	1469	4	840072	False	-1
8412	1469	5	180769	False	-1
8412	1469	6	516433	False	-1
8412	1469	7	288045	False	-1
8412	1469	8	715787	False	-1
8412	1469	9	840066	False	-1
508066	1469	0	241084	False	-1
508066	1469	1	477004	False	-1
508066	1469	2	658443	False	-1
508066	1469	3	490938	True	-1
508066	1469	4	840072	False	-1
508066	1469	5	180769	False	-1
508066	1469	6	516433	False	-1
508066	1469	7	288045	True	-1
508066	1469	8	715787	False	-1
508066	1469	9	840066	False	-1
377128	1469	0	241084	True	8
377128	1469	1	477004	False	-1
377128	1469	2	658443	False	-1
377128	1469	3	490938	False	-1
377128	1469	4	840072	False	-1
377128	1469	5	180769	False	-1
377128	1469	6	516433	False	-1
377128	1469	7	288045	False	-1
377128	1469	8	715787	False	-1
377128	1469	9	840063	False	-1
301848	1469	0	241084	True	326
301848	1469	1	477004	False	-1
301848	1469	2	658443	False	-1
301848	1469	3	490938	False	-1
301848	1469	4	840072	False	-1
301848	1469	5	180769	False	-1
301848	1469	6	516433	False	-1
301848	1469	7	288045	False	-1
301848	1469	8	715787	False	-1
301848	1469	9	840066	False	-1
325936	1469	0	840072	False	-1
325936	1469	1	288045	True	32
325936	1469	2	840066	False	-1
325936	1469	3	288046	False	-1
325936	1469	4	131507	True	-1
325936	1469	5	288040	False	-1
325936	1469	6	273353	False	-1
325936	1469	7	950322	False	-1
325936	1469	8	624197	True	-1
325936	1469	9	949297	False	-1
122345	1469	0	241084	True	322
122345	1469	1	477004	True	124
122345	1469	2	658443	False	-1
122345	1469	3	490938	False	-1
122345	1469	4	840072	False	-1
122345	1469	5	180769	False	-1
122345	1469	6	516433	True	-1
122345	1469	7	288045	False	-1
122345	1469	8	715787	True	-1
122345	1469	9	840066	False	-1
466887	1469	0	241084	True	288
466887	1469	1	477004	False	-1
466887	1469	2	658443	False	-1
466887	1469	3	490938	False	-1
466887	1469	4	840072	False	-1
466887	1469	5	180769	False	-1
466887	1469	6	516433	False	-1
466887	1469	7	288045	False	-1
466887	1469	8	715787	False	-1
466887	1469	9	840066	False	-1
77813	1469	0	194056	False	-1
77813	1469	1	619076	True	1110
77813	1469	2	736432	False	-1
77813	1469	3	164810	False	-1
77813	1469	4	273353	False	-1
77813	1469	5	800282	False	-1
77813	1469	6	288045	False	-1
77813	1469	7	288040	False	-1
77813	1469	8	11202	False	-1
77813	1469	9	593024	False	-1
406059	1469	0	241084	True	136
406059	1469	1	477004	False	-1
406059	1469	2	658443	False	-1
406059	1469	3	490938	False	-1
406059	1469	4	840072	False	-1
406059	1469	5	180769	False	-1
406059	1469	6	516433	False	-1
406059	1469	7	288045	False	-1
406059	1469	8	715787	False	-1
406059	1469	9	840066	False	-1
58442	1469	0	241084	True	402
58442	1469	1	477004	False	-1
58442	1469	2	658443	False	-1
58442	1469	3	490938	False	-1
58442	1469	4	840072	False	-1
58442	1469	5	180769	False	-1
58442	1469	6	516433	False	-1
58442	1469	7	288045	False	-1
58442	1469	8	715787	False	-1
58442	1469	9	840063	False	-1
225127	1469	0	241084	True	82
225127	1469	1	477004	False	-1
225127	1469	2	658443	False	-1
225127	1469	3	490938	False	-1
225127	1469	4	840072	False	-1
225127	1469	5	180769	False	-1
225127	1469	6	516433	False	-1
225127	1469	7	288045	False	-1
225127	1469	8	715787	False	-1
225127	1469	9	840063	False	-1
258798	1469	0	241084	True	20868
258798	1469	1	477004	True	11232
